date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:19:01	12949/12949	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Nov%202022%2016:19:00%20GMT	https://www.omeedtehrani.com/robots.txt		(from )
10:19:02	91106/91106	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Nov%202022%2016:19:01%20GMT	https://www.omeedtehrani.com/	/Users/omeedtehrani/websites/omeedtehrani.com/www.omeedtehrani.com/index.html	(from )
10:19:03	91487/91487	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Nov%202022%2016:19:02%20GMT	https://www.omeedtehrani.com/home	/Users/omeedtehrani/websites/omeedtehrani.com/www.omeedtehrani.com/home.html	(from https://www.omeedtehrani.com/)
10:19:04	88333/88333	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Nov%202022%2016:19:03%20GMT	https://www.omeedtehrani.com/research/decision-transformers	/Users/omeedtehrani/websites/omeedtehrani.com/www.omeedtehrani.com/research/decision-transformers.html	(from https://www.omeedtehrani.com/)
10:19:05	88650/88650	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Nov%202022%2016:19:04%20GMT	https://www.omeedtehrani.com/research/state-based-dagger-agent-for-supertuxkart-using-dnns	/Users/omeedtehrani/websites/omeedtehrani.com/www.omeedtehrani.com/research/state-based-dagger-agent-for-supertuxkart-using-dnns.html	(from https://www.omeedtehrani.com/)
10:19:06	84147/84147	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Nov%202022%2016:19:05%20GMT	https://www.omeedtehrani.com/research/genre-detection-and-model-evaluation-with-fma-using-classical-machine-learn	/Users/omeedtehrani/websites/omeedtehrani.com/www.omeedtehrani.com/research/genre-detection-and-model-evaluation-with-fma-using-classical-machine-learn.html	(from https://www.omeedtehrani.com/)
10:19:07	82125/82125	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Nov%202022%2016:19:06%20GMT	https://www.omeedtehrani.com/posts	/Users/omeedtehrani/websites/omeedtehrani.com/www.omeedtehrani.com/posts.html	(from https://www.omeedtehrani.com/)
10:19:08	98083/98083	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Nov%202022%2016:19:07%20GMT	https://www.omeedtehrani.com/posts/reinforcement-learning	/Users/omeedtehrani/websites/omeedtehrani.com/www.omeedtehrani.com/posts/reinforcement-learning.html	(from https://www.omeedtehrani.com/)
10:19:09	89862/89862	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Nov%202022%2016:19:08%20GMT	https://www.omeedtehrani.com/posts/neural-networks	/Users/omeedtehrani/websites/omeedtehrani.com/www.omeedtehrani.com/posts/neural-networks.html	(from https://www.omeedtehrani.com/)
10:19:10	91263/91263	---MCZ	200	added ('OK')	text/html	date:Sun,%2020%20Nov%202022%2016:19:09%20GMT	https://www.omeedtehrani.com/posts/science-of-interstellar	/Users/omeedtehrani/websites/omeedtehrani.com/www.omeedtehrani.com/posts/science-of-interstellar.html	(from https://www.omeedtehrani.com/)
